school_id,school_name,district,block,total_enrolled_students,school_type,medium,school_id_clean
SCH0162,Govt. Elementary School Deshpande,Sangrur,Dhuri,433,Higher Secondary,Hindi,SCH0162
SCH0402,Govt. Primary School Chakraborty,Patiala,Patiala,341,Primary,English,SCH0402
SCH0477,Govt. Primary School Gupta,Ludhiana,Ludhiana-I,87,Upper Primary,punjabi,SCH0477
SCH0106,Govt. Primary School Shanker,Ferozepur,Zira,165,Upper Primary,punjabi,SCH0106
SCH0390,Govt. Middle School Dutt,Patiala,Samana,411,Higher Secondary,Hindi,SCH0390
SCH0002,Govt. Primary School Dewan,,Tarn Taran,56,Upper Primary,hindi,SCH0002
SCH0576,Govt. Senior Secondary School Tripathi,,Amritsar-II,134,Secondary,Hindi,SCH0576
SCH0081,Govt. Middle School Batta,Ferozepur,,77,Primary,Hindi,SCH0081
SCH0206,Govt. Middle School Menon,Jalandhar,Nakodar,353,Higher Secondary,hindi,SCH0206
SCH0035,Govt. Elementary School Setty,Bathinda,Talwandi Sabo,168,primary,Punjabi,SCH0035
SCH0509,Govt. Elementary School Maharaj,Jalandhar,Nakodar,221,Higher Secondary,punjabi,SCH0509
SCH0428,Govt. Middle School Swamy,Jalandhar,Jalandhar-II,414,Primary,punjabi,SCH0428
SCH0455,Govt. Elementary School Borah,Patiala,Patiala,132,Primary,Punjabi,SCH0455
SCH0367,Govt. Primary School Vala,Bathinda,,177,Upper Primary,English,SCH0367
SCH0092,Govt. Middle School Bawa,Bathinda,Talwandi Sabo,429,higher secondary,punjabi,SCH0092
SCH0340,Govt. Elementary School Manda,Bathinda,Bathinda,51,Upper Primary,Punjabi,SCH0340
SCH0565,Govt. Middle School Kibe,ludhiana,,127,Upper Primary,Punjabi,SCH0565
SCH0346,Govt. Primary School Peri,Moga,Nihal Singh Wala,178,Secondary,English,SCH0346
SCH0242,Govt. Elementary School Bhardwaj,Moga,Nihal Singh Wala,249,Higher Secondary,Hindi,SCH0242
SCH0014,Govt. Senior Secondary School Soman,Jalandhar,Phillaur,41,Secondary,Punjabi,SCH0014
SCH0316,Govt. Elementary School Dhingra,,Doraha,150,Primary,hindi,SCH0316
SCH0388,Govt. Elementary School Saini,Bathinda,Rampura Phul,136,Upper Primary,Hindi,SCH0388
SCH0274,Govt. Senior Secondary School Raval,Ferozepur,Makhu,98,Upper Primary,hindi,SCH0274
SCH0167,Govt. Elementary School Pall,Ludhiana,Doraha,281,Upper Primary,Punjabi,SCH0167
SCH0110,Govt. Primary School Goswami,Moga,Bagha Purana,398,Higher Secondary,punjabi,SCH0110
SCH0485,Govt. Senior Secondary School Gola,Ludhiana,Ludhiana-II,239,Primary,hindi,SCH0485
SCH0078,Govt. Senior Secondary School Bhavsar,Bathinda,Maur,224,Primary,Punjabi,SCH0078
SCH0505,Govt. Primary School Chakraborty,Patiala,Rajpura,235,Upper Primary,punjabi,SCH0505
SCH0244,Govt. Primary School Swamy,patiala,Samana,371,Higher Secondary,Hindi,SCH0244
SCH0567,Govt. Elementary School Sawhney,Patiala,Rajpura,300,Primary,hindi,SCH0567
SCH0563,Govt. Senior Secondary School Nayak,,Talwandi Sabo,281,Upper Primary,hindi,SCH0563
SCH0190,Govt. Senior Secondary School Chadha,Moga,Moga-II,439,Upper Primary,Punjabi,SCH0190
SCH0476,Govt. Primary School Chowdhury,Jalandhar,Jalandhar-I,48,Higher Secondary,hindi,SCH0476
SCH0511,Govt. Middle School Kuruvilla,Ferozepur,Ferozepur,80,Upper Primary,hindi,SCH0511
SCH0059,Govt. Middle School Barman,Bathinda,Talwandi Sabo,254,Upper Primary,Punjabi,SCH0059
SCH0475,Govt. Primary School Prakash,Bathinda,Maur,410,Higher Secondary,punjabi,SCH0475
SCH0561,Govt. Middle School Mishra,,Sunam,265,Upper Primary,Punjabi,SCH0561
SCH0253,Govt. Senior Secondary School Saha,Ludhiana,,110,upper primary,hindi,SCH0253
SCH0022,Govt. Primary School Aggarwal,Amritsar,Amritsar-I,377,Higher Secondary,Punjabi,SCH0022
SCH0314,Govt. Middle School Kakar,Patiala,Rajpura,366,Primary,hindi,SCH0314
SCH0460,Govt. Senior Secondary School Solanki,Sangrur,Sangrur,129,Primary,Hindi,SCH0460
SCH0161,Govt. Senior Secondary School Mand,Patiala,Nabha,198,Higher Secondary,hindi,SCH0161
SCH0277,Govt. Middle School Nagi,Sangrur,Dhuri,338,Higher Secondary,hindi,SCH0277
SCH0192,Govt. Middle School Varty,Bathinda,Bathinda,168,secondary,Punjabi,SCH0192
SCH0386,Govt. Elementary School Sama,Moga,Nihal Singh Wala,169,Secondary,Punjabi,SCH0386
SCH0414,Govt. Elementary School Goyal,Amritsar,Tarn Taran,342,Higher Secondary,hindi,SCH0414
SCH0492,Govt. Middle School Dalal,Bathinda,Rampura Phul,99,Secondary,punjabi,SCH0492
SCH0344,Govt. Senior Secondary School Bala,Sangrur,Sangrur,84,Upper Primary,hindi,SCH0344
SCH0309,Govt. Primary School Garde,Ferozepur,Zira,368,upper primary,Hindi,SCH0309
SCH0131,Govt. Elementary School Dani,Moga,,200,Secondary,Punjabi,SCH0131
SCH0100,Govt. Elementary School Sandal,Ferozepur,Zira,437,Secondary,Hindi,SCH0100
SCH0373,Govt. Middle School Soman,Amritsar,Amritsar-I,328,Secondary,English,SCH0373
SCH0088,Govt. Middle School Golla,bathinda,Talwandi Sabo,264,Primary,Punjabi,SCH0088
SCH0459,Govt. Elementary School Mani,Bathinda,Rampura Phul,108,Secondary,English,SCH0459
SCH0331,Govt. Primary School Raju,Patiala,,291,Upper Primary,Hindi,SCH0331
SCH0215,Govt. Elementary School Saha,Bathinda,Bathinda,187,Primary,punjabi,SCH0215
SCH0467,Govt. Elementary School Krishnan,Bathinda,Rampura Phul,336,Upper Primary,Punjabi,SCH0467
SCH0122,Govt. Senior Secondary School Ahluwalia,Ludhiana,,442,Upper Primary,hindi,SCH0122
SCH0021,Govt. Elementary School Sami,Sangrur,Sunam,316,Higher Secondary,Hindi,SCH0021
SCH0072,Govt. Senior Secondary School Sengupta,Ferozepur,Makhu,54,Secondary,English,SCH0072
SCH0107,Govt. Elementary School Krishna,Patiala,Rajpura,338,Higher Secondary,Punjabi,SCH0107
SCH0271,Govt. Elementary School Mohan,Sangrur,Sunam,274,secondary,hindi,SCH0271
SCH0436,Govt. Primary School Joshi,Ferozepur,,253,Secondary,English,SCH0436
SCH0103,Govt. Elementary School Parsa,Amritsar,Ajnala,385,Higher Secondary,Punjabi,SCH0103
